"year" "wolf" "wolf_extrema" "wolf_v2" "wolf_v2_extrema" "group" "group_extrema" "ertel_d_wolf" "ertel_dmax_wolf" "ertel_Q_wolf" "tapping_phase_wolf" "tapping_phase_bin_wolf" "psi_wolf" "first_year_of_cycle_wolf" "max_year_of_cycle_wolf" "last_year_of_cycle_wolf" "ertel_d_wolf_v2" "ertel_dmax_wolf_v2" "ertel_Q_wolf_v2" "tapping_phase_wolf_v2" "tapping_phase_bin_wolf_v2" "psi_wolf_v2" "first_year_of_cycle_wolf_v2" "max_year_of_cycle_wolf_v2" "last_year_of_cycle_wolf_v2" "ertel_d_group" "ertel_dmax_group" "ertel_Q_group" "tapping_phase_group" "tapping_phase_bin_group" "psi_group" "first_year_of_cycle_group" "max_year_of_cycle_group" "last_year_of_cycle_group" "yeung_percentile_wolf" "yeung_percentile_wolf_v2" "yeung_percentile_group"
1700 5 -1 8.3 -1 0.4 -1 5 6 -0.666666666666667 -0.416666666666667 1 -1 1700 1705 1712 5 6 -0.666666666666667 -0.416666666666667 1 -1 1700 1705 1712 5 6 -0.666666666666667 -0.454545454545455 1 -1 1700 1705 1711 0.0664556962025316 0.064873417721519 0.0427215189873418
1701 11 0 18.3 0 0.5 0 4 6 -0.333333333333333 -0.333333333333333 1 -0.8 1700 1705 1712 4 6 -0.333333333333333 -0.333333333333333 1 -0.8 1700 1705 1712 4 6 -0.333333333333333 -0.363636363636364 1 -0.8 1700 1705 1711 0.177215189873418 0.180379746835443 0.0474683544303797
1702 16 0 26.7 0 0.6 0 3 6 0 -0.25 2 -0.6 1700 1705 1712 3 6 0 -0.25 2 -0.6 1700 1705 1712 3 6 0 -0.272727272727273 2 -0.6 1700 1705 1711 0.254746835443038 0.264240506329114 0.0506329113924051
1703 23 0 38.3 0 2.7 0 2 6 0.333333333333333 -0.166666666666667 2 -0.4 1700 1705 1712 2 6 0.333333333333333 -0.166666666666667 2 -0.4 1700 1705 1712 2 6 0.333333333333333 -0.181818181818182 2 -0.4 1700 1705 1711 0.332278481012658 0.329113924050633 0.0743670886075949
1704 36 0 60 0 4.1 0 1 6 0.666666666666667 -0.0833333333333333 3 -0.2 1700 1705 1712 1 6 0.666666666666667 -0.0833333333333333 3 -0.2 1700 1705 1712 1 6 0.666666666666667 -0.0909090909090909 3 -0.2 1700 1705 1711 0.449367088607595 0.462025316455696 0.117088607594937
1705 58 1 96.7 1 5.5 1 0 6 1 0 3 0 1700 1705 1712 0 6 1 0 3 0 1700 1705 1712 0 6 1 0 3 0 1700 1705 1711 0.636075949367089 0.645569620253165 0.15506329113924
1706 29 0 48.3 0 3.2 0 1 6 0.666666666666667 0.0833333333333333 3 0.142857142857143 1700 1705 1712 1 6 0.666666666666667 0.0833333333333333 3 0.142857142857143 1700 1705 1712 1 6 0.666666666666667 0.0909090909090909 3 0.166666666666667 1700 1705 1711 0.382911392405063 0.395569620253165 0.0949367088607595
1707 20 0 33.3 0 5.3 0 2 6 0.333333333333333 0.166666666666667 4 0.285714285714286 1700 1705 1712 2 6 0.333333333333333 0.166666666666667 4 0.285714285714286 1700 1705 1712 2 6 0.333333333333333 0.181818181818182 4 0.333333333333333 1700 1705 1711 0.295886075949367 0.299050632911392 0.151898734177215
1708 10 0 16.7 0 2.8 0 3 6 0 0.25 4 0.428571428571429 1700 1705 1712 3 6 0 0.25 4 0.428571428571429 1700 1705 1712 3 6 0 0.272727272727273 4 0.5 1700 1705 1711 0.151898734177215 0.158227848101266 0.0791139240506329
1709 8 0 13.3 0 1.6 0 4 6 -0.333333333333333 0.333333333333333 5 0.571428571428571 1700 1705 1712 4 6 -0.333333333333333 0.333333333333333 5 0.571428571428571 1700 1705 1712 4 6 -0.333333333333333 0.363636363636364 5 0.666666666666667 1700 1705 1711 0.120253164556962 0.123417721518987 0.064873417721519
1710 3 0 5 0 0.4 0 5 6 -0.666666666666667 0.416666666666667 5 0.714285714285714 1700 1705 1712 5 6 -0.666666666666667 0.416666666666667 5 0.714285714285714 1700 1705 1712 5 6 -0.666666666666667 0.454545454545455 5 0.833333333333333 1700 1705 1711 0.0348101265822785 0.0379746835443038 0.0427215189873418
1711 0 0 0 0 0 -1 6 6 -1 0.5 5 0.857142857142857 1700 1705 1712 6 6 -1 0.5 5 0.857142857142857 1700 1705 1712 6 7 -0.714285714285714 -0.666666666666667 0 -1 1711 1719 1723 0.00632911392405063 0.00632911392405063 0.0174050632911392
1712 0 -1 0 -1 0 0 5 5 -1 -0.454545454545455 1 -1 1712 1717 1723 5 5 -1 -0.454545454545455 1 -1 1712 1717 1723 7 7 -1 -0.583333333333333 0 -0.875 1711 1719 1723 0.00632911392405063 0.00632911392405063 0.0174050632911392
1713 2 0 3.3 0 0.3 0 4 5 -0.6 -0.363636363636364 1 -0.8 1712 1717 1723 4 5 -0.6 -0.363636363636364 1 -0.8 1712 1717 1723 6 7 -0.714285714285714 -0.5 1 -0.75 1711 1719 1723 0.0221518987341772 0.0221518987341772 0.0363924050632911
1714 11 0 18.3 0 0.9 0 3 5 -0.2 -0.272727272727273 2 -0.6 1712 1717 1723 3 5 -0.2 -0.272727272727273 2 -0.6 1712 1717 1723 5 7 -0.428571428571429 -0.416666666666667 1 -0.625 1711 1719 1723 0.177215189873418 0.180379746835443 0.0537974683544304
